Country,Region,Population,Area_sq_mi,Pop_Density_sq_mi,Coastline,Net_migration,Infant_mortality_per1000births,GDP,Literacy,Phones_1000),Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Martinique ,LATIN AMER. & CARIB    ,436131,1100,396.5,3.182,-5,709,14400,97.7,394.4,1.038,943,8.019,2,1.374,648,6,11,83
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,7,0,7.089,1800,41.7,12.9,48,1,9.951,1,4.099,1.216,25,29,46
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,868,-0.9,1.503,11400,85.6,289.3,4.926,296,4.778,2,1.543,686,59,298,643
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,538.1,4.952,678,62.4,2600,,49.7,,,,2,4.095,7.7,,,
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,54.5,47,-487,2.091,9000,92.2,181.6,1.299,131,85.7,1.5,2.069,474,38,259,702
Micronesia. Fed. St. ,OCEANIA                            ,108004,702,153.9,87.066,-2.099,3.021,2000,89.0,114.8,571,4.571,4.858,2,2.468,475,289,152,559
Moldova ,C.W. OF IND. STATES ,4466706,33843,132.0,0,-26,4.042,1800,99.1,208.1,55.3,1.079,3.391,,15.7,1.264,213,233,555
Monaco ,WESTERN EUROPE                     ,32543,2,16271.5,20.500,775,543,27000,99.0,1035.6,0,0,100,,919,1.291,17,,
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,0,0,5.379,1800,97.8,55.1,77,0,9.923,1,2.159,695,206,214,58
Montserrat ,LATIN AMER. & CARIB    ,9439,102,92.5,3.922,0,735,3400,97.0,,20,0,80,2,1.759,7.1,,,
Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,41,-98,4.162,4000,51.7,40.4,1.961,217,7.822,,2.198,558,217,357,426
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,31,0,13.079,1200,47.8,3.5,5.1,0.3,94.6,2,3.518,2.135,262,348,39
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,19,0,4.898,7200,84.0,62.6,99,0,9.901,1,2.432,1.886,97,315,588
Nauru ,OCEANIA                            ,13287,21,632.7,14.286,0,995,5000,,143.0,0,0,100,2,2.476,6.7,,,
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0,0,6.698,1400,45.2,15.9,2.168,64,7.768,,3.098,931,38,21,41
Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,109,291,504,28600,99.0,460.8,2.671,97,7.232,3,10.9,868,21,244,736
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,231.0,3.792,-41,1.003,11400,96.7,365.3,10,0,90,2,1.478,645,1,15,84
New Caledonia ,OCEANIA                            ,219246,19060,11.5,1.183,0,772,15000,91.0,252.2,38,33,9.929,2,1.811,569,15,88,762
New Zealand ,OCEANIA                            ,4076140,268680,15.2,563,405,585,21600,99.0,441.7,5.6,699,8.741,3,1.376,753,43,273,684
